,date,KRX_close,KRX_vol,KRX_change,hynix_close,hynix_vol,hynix_change
0,2006-01-02,"1,000.00","19,901,799",,"37,600","13,366,196",6.52
1,2006-01-03,"1,012.36","23,519,159",,"38,100","13,834,043",1.33
2,2006-01-04,"1,007.17","35,951,797",,"35,300","23,140,068",-7.35
3,2006-01-05,991.68,"32,261,363",,"34,600","21,566,179",-1.98
4,2006-01-06,"1,008.15","21,152,418",,"35,050","12,707,206",1.3
5,2006-01-07,,,,,,
6,2006-01-08,,,,,,
7,2006-01-09,"1,030.83","23,734,346",,"36,750","13,652,495",4.85
8,2006-01-10,"1,037.76","30,136,076",,"38,000","16,155,952",3.4
9,2006-01-11,"1,032.09","19,104,645",,"37,350","9,532,302",-1.71
10,2006-01-12,"1,038.79","18,044,512",,"37,700","9,289,258",0.94
11,2006-01-13,"1,056.05","20,342,224",,"38,100","10,008,442",1.06
12,2006-01-14,,,,,,
13,2006-01-15,,,,,,
14,2006-01-16,"1,067.71","18,534,051",,"37,750","8,045,638",-0.92
15,2006-01-17,"1,049.40","23,840,689",,"36,200","10,257,599",-4.11
16,2006-01-18,"1,000.40","36,110,452",,"33,000","19,665,484",-8.84
17,2006-01-19,"1,007.93","26,752,421",,"34,400","18,428,496",4.24
18,2006-01-20,959.45,"27,414,595",,"32,300","16,771,296",-6.1
19,2006-01-21,,,,,,
20,2006-01-22,,,,,,
21,2006-01-23,923.22,"25,606,097",,"31,150","15,530,465",-3.56
22,2006-01-24,968.25,"25,875,246",,"33,500","15,974,226",7.54
23,2006-01-25,993.61,"26,240,029",,"34,000","15,537,952",1.49
24,2006-01-26,"1,014.35","25,548,306",,"36,750","18,925,359",8.09
25,2006-01-27,"1,029.67","20,386,133",,"37,500","14,503,649",2.04
26,2006-01-28,,,,,,
27,2006-01-29,,,,,,
28,2006-01-30,,,,,,
29,2006-01-31,"1,043.74","25,413,368",,"37,300","18,154,320",-0.53
30,2006-02-01,"1,007.25","21,917,475",,"35,500","14,930,820",-4.83
31,2006-02-02,"1,011.48","20,955,100",,"36,250","14,279,598",2.11
32,2006-02-03,986.08,"17,325,576",,"35,000","11,244,571",-3.45
33,2006-02-04,,,,,,
34,2006-02-05,,,,,,
35,2006-02-06,986.38,"17,113,466",,"35,450","12,325,246",1.29
36,2006-02-07,986.64,"16,389,404",,"35,250","12,338,416",-0.56
37,2006-02-08,971.74,"14,371,820",,"34,700","9,523,601",-1.56
38,2006-02-09,988.67,"11,747,353",,"34,900","7,423,868",0.58
39,2006-02-10,990.15,"12,877,148",,"34,400","8,404,537",-1.43
40,2006-02-11,,,,,,
41,2006-02-12,,,,,,
42,2006-02-13,971.07,"14,984,875",,"33,000","10,805,711",-4.07
43,2006-02-14,975.77,"13,491,424",,"33,000","9,133,012",0.0
44,2006-02-15,928.05,"36,136,424",,"28,950","30,750,375",-12.27
45,2006-02-16,941.64,"20,270,329",,"30,350","15,694,423",4.84
46,2006-02-17,968.7,"17,249,045",,"31,200","11,828,324",2.8
47,2006-02-18,,,,,,
48,2006-02-19,,,,,,
49,2006-02-20,980.38,"12,070,831",,"31,000","7,060,460",-0.64
50,2006-02-21,973.45,"11,205,507",,"30,300","7,633,217",-2.26
51,2006-02-22,972.17,"14,053,489",,"30,950","9,849,932",2.15
52,2006-02-23,995.32,"14,657,132",,"32,200","10,433,443",4.04
53,2006-02-24,"1,000.50","12,913,499",,"32,900","8,507,219",2.17
54,2006-02-25,,,,,,
55,2006-02-26,,,,,,
56,2006-02-27,"1,008.47","8,531,588",,"32,700","4,892,289",-0.61
57,2006-02-28,"1,011.77","10,547,700",0.33,"33,250","6,471,233",1.68
58,2006-03-01,,,,,,
59,2006-03-02,999.72,"13,035,600",-1.19,"32,050","7,713,450",-3.61
60,2006-03-03,957.51,"19,080,100",-4.22,"30,500","12,898,998",-4.84
61,2006-03-04,,,,,,
62,2006-03-05,,,,,,
63,2006-03-06,962.53,"13,322,700",0.52,"31,000","8,609,534",1.64
64,2006-03-07,927.67,"19,777,000",-3.62,"29,150","13,968,020",-5.97
